index,amount,change,date,price,time,type,volume
0,298116,-0.14,2018-09-03,8.19,09:25:04,卖盘,364
1,284146,-0.05,2018-09-03,8.14,09:30:04,卖盘,348
2,75738,-0.02,2018-09-03,8.12,09:30:07,卖盘,93
3,2445,0.03,2018-09-03,8.15,09:30:10,买盘,3
4,82780,0.0,2018-09-03,8.15,09:30:12,买盘,102
5,812,-0.03,2018-09-03,8.12,09:30:16,中性盘,1
6,40542,0.0,2018-09-03,8.12,09:30:18,买盘,50
7,34872,0.0,2018-09-03,8.12,09:30:22,买盘,43
8,127360,0.0,2018-09-03,8.12,09:30:25,卖盘,157
9,12180,0.0,2018-09-03,8.12,09:30:28,卖盘,15
10,28420,0.0,2018-09-03,8.12,09:30:31,卖盘,35
11,24360,0.0,2018-09-03,8.12,09:30:34,买盘,30
12,1624,0.0,2018-09-03,8.12,09:30:37,买盘,2
13,16220,-0.01,2018-09-03,8.11,09:30:40,卖盘,20
14,17042,0.01,2018-09-03,8.12,09:30:42,买盘,21
15,4050,-0.02,2018-09-03,8.1,09:30:45,买盘,5
16,1620,0.0,2018-09-03,8.1,09:30:49,买盘,2
17,40475,0.01,2018-09-03,8.11,09:30:52,买盘,50
18,76912,0.0,2018-09-03,8.11,09:30:55,买盘,95
19,58277,-0.02,2018-09-03,8.09,09:30:58,卖盘,72
20,38804,0.0,2018-09-03,8.09,09:31:01,买盘,48
21,31549,-0.01,2018-09-03,8.08,09:31:04,卖盘,39
22,16976,0.0,2018-09-03,8.08,09:31:07,卖盘,21
23,32329,0.0,2018-09-03,8.08,09:31:10,卖盘,40
24,20990,-0.01,2018-09-03,8.07,09:31:13,卖盘,26
25,87283,-0.01,2018-09-03,8.06,09:31:16,卖盘,108
26,95899,-0.01,2018-09-03,8.05,09:31:19,卖盘,119
27,53971,0.01,2018-09-03,8.06,09:31:22,买盘,67
28,92525,-0.03,2018-09-03,8.03,09:31:25,卖盘,115
29,100190,0.03,2018-09-03,8.06,09:31:28,中性盘,124
30,24150,-0.01,2018-09-03,8.05,09:31:31,卖盘,30
31,100822,0.0,2018-09-03,8.05,09:31:33,卖盘,125
32,90271,0.02,2018-09-03,8.07,09:31:37,买盘,112
33,12928,0.01,2018-09-03,8.08,09:31:40,卖盘,16
34,10491,-0.01,2018-09-03,8.07,09:31:43,买盘,13
35,67693,-0.02,2018-09-03,8.05,09:31:49,卖盘,84
36,33886,0.02,2018-09-03,8.07,09:31:51,买盘,42
37,4838,-0.01,2018-09-03,8.06,09:31:54,卖盘,6
38,40339,0.01,2018-09-03,8.07,09:31:58,买盘,50
39,17774,0.04,2018-09-03,8.11,09:32:01,买盘,22
40,29076,-0.04,2018-09-03,8.07,09:32:04,卖盘,36
41,10503,0.0,2018-09-03,8.07,09:32:07,卖盘,13
42,35539,0.0,2018-09-03,8.07,09:32:13,卖盘,44
43,4860,0.04,2018-09-03,8.11,09:32:16,买盘,6
44,2442,0.03,2018-09-03,8.14,09:32:22,买盘,3
45,16225,-0.04,2018-09-03,8.1,09:32:24,卖盘,20
46,22680,0.0,2018-09-03,8.1,09:32:27,买盘,28
47,19443,0.01,2018-09-03,8.11,09:32:31,买盘,24
48,8100,-0.01,2018-09-03,8.1,09:32:34,中性盘,10
49,4866,0.01,2018-09-03,8.11,09:32:37,买盘,6
50,103747,0.01,2018-09-03,8.12,09:32:42,中性盘,128
51,6492,0.01,2018-09-03,8.13,09:32:45,买盘,8
52,36495,-0.02,2018-09-03,8.11,09:32:52,卖盘,45
53,47888,0.03,2018-09-03,8.14,09:32:58,买盘,59
54,15447,-0.01,2018-09-03,8.13,09:33:01,中性盘,19
55,34110,0.01,2018-09-03,8.14,09:33:04,买盘,42
56,21128,-0.01,2018-09-03,8.13,09:33:07,买盘,26
57,19512,0.0,2018-09-03,8.13,09:33:10,买盘,24
58,22710,-0.02,2018-09-03,8.11,09:33:13,卖盘,28
59,3252,0.02,2018-09-03,8.13,09:33:16,买盘,4
60,5677,-0.02,2018-09-03,8.11,09:33:18,卖盘,7
61,3248,0.01,2018-09-03,8.12,09:33:21,中性盘,4
62,7299,-0.01,2018-09-03,8.11,09:33:25,卖盘,9
63,34062,0.0,2018-09-03,8.11,09:33:28,卖盘,42
64,2433,0.0,2018-09-03,8.11,09:33:31,买盘,3
65,19451,0.0,2018-09-03,8.11,09:33:34,买盘,24
66,6480,-0.01,2018-09-03,8.1,09:33:37,卖盘,8
67,19440,0.0,2018-09-03,8.1,09:33:40,买盘,24
68,28350,0.0,2018-09-03,8.1,09:33:43,卖盘,35
69,12966,0.0,2018-09-03,8.1,09:33:46,卖盘,16
70,21086,0.01,2018-09-03,8.11,09:33:49,买盘,26
71,24330,0.0,2018-09-03,8.11,09:33:52,卖盘,30
72,13794,0.01,2018-09-03,8.12,09:33:55,买盘,17
73,110204,-0.02,2018-09-03,8.1,09:33:58,卖盘,136
74,6480,0.0,2018-09-03,8.1,09:34:04,买盘,8
75,84151,-0.01,2018-09-03,8.09,09:34:07,卖盘,104
76,4050,0.01,2018-09-03,8.1,09:34:09,买盘,5
77,14565,0.0,2018-09-03,8.1,09:34:13,买盘,18
78,6472,-0.01,2018-09-03,8.09,09:34:16,卖盘,8
79,16195,0.01,2018-09-03,8.1,09:34:19,买盘,20
80,45370,0.01,2018-09-03,8.11,09:34:22,买盘,56
81,7291,-0.01,2018-09-03,8.1,09:34:24,中性盘,9
82,21870,0.0,2018-09-03,8.1,09:34:27,买盘,27
83,16198,0.01,2018-09-03,8.11,09:34:30,买盘,20
84,99682,0.0,2018-09-03,8.11,09:34:34,买盘,123
85,21874,0.0,2018-09-03,8.11,09:34:40,买盘,27
86,29124,-0.03,2018-09-03,8.08,09:34:43,卖盘,36
87,22708,0.03,2018-09-03,8.11,09:34:46,买盘,28
88,41361,0.0,2018-09-03,8.11,09:34:49,买盘,51
89,3240,-0.01,2018-09-03,8.1,09:34:52,中性盘,4
90,16995,0.01,2018-09-03,8.11,09:34:55,买盘,21
91,3236,-0.02,2018-09-03,8.09,09:34:58,买盘,4
92,25912,0.01,2018-09-03,8.1,09:35:01,买盘,32
93,4860,0.0,2018-09-03,8.1,09:35:07,买盘,6
94,811,0.01,2018-09-03,8.11,09:35:10,买盘,1
95,8100,-0.01,2018-09-03,8.1,09:35:13,卖盘,10
96,281417,0.01,2018-09-03,8.11,09:35:16,买盘,347
97,10531,-0.01,2018-09-03,8.1,09:35:19,卖盘,13
98,51047,0.0,2018-09-03,8.1,09:35:22,买盘,63
99,21086,0.01,2018-09-03,8.11,09:35:25,买盘,26
100,68890,-0.01,2018-09-03,8.1,09:35:28,卖盘,85
101,260331,0.01,2018-09-03,8.11,09:35:31,买盘,321
102,22699,0.0,2018-09-03,8.11,09:35:34,买盘,28
103,16243,0.02,2018-09-03,8.13,09:35:40,买盘,20
104,1628,0.01,2018-09-03,8.14,09:35:48,买盘,2
105,814,0.0,2018-09-03,8.14,09:35:51,买盘,1
106,32500,-0.01,2018-09-03,8.13,09:35:54,卖盘,40
107,32550,0.02,2018-09-03,8.15,09:35:58,买盘,40
108,1630,0.0,2018-09-03,8.15,09:36:00,买盘,2
109,814,-0.01,2018-09-03,8.14,09:36:04,买盘,1
110,3256,0.0,2018-09-03,8.14,09:36:07,买盘,4
111,814,0.0,2018-09-03,8.14,09:36:09,买盘,1
112,24420,0.0,2018-09-03,8.14,09:36:13,买盘,30
113,61790,-0.01,2018-09-03,8.13,09:36:16,卖盘,76
114,52052,-0.01,2018-09-03,8.12,09:36:19,卖盘,64
115,52024,0.02,2018-09-03,8.14,09:36:22,买盘,64
116,8140,0.0,2018-09-03,8.14,09:36:25,买盘,10
117,25219,-0.01,2018-09-03,8.13,09:36:31,中性盘,31
118,66629,-0.01,2018-09-03,8.12,09:36:37,卖盘,82
119,34181,0.02,2018-09-03,8.14,09:36:40,买盘,42
120,65086,-0.02,2018-09-03,8.12,09:36:49,卖盘,80
121,4894,0.04,2018-09-03,8.16,09:36:51,买盘,6
122,3264,0.0,2018-09-03,8.16,09:36:54,买盘,4
123,58528,-0.03,2018-09-03,8.13,09:37:04,卖盘,72
124,2445,0.02,2018-09-03,8.15,09:37:07,中性盘,3
125,4891,0.01,2018-09-03,8.16,09:37:13,买盘,6
